,0
0,2
1,2
2,1
3,5
4,3
5,1
6,1
7,5
8,2
9,2
10,1
11,6
12,6
13,2
14,2
15,3
16,2
17,2
18,1
19,2
20,2
21,2
22,3
23,15
24,1
25,16
26,3
27,1
28,9
29,4
30,2
31,1
32,2
33,4
34,1
35,1
36,1
37,1
38,4
39,4
40,3
41,4
42,4
43,1
44,7
45,1
46,1
47,1
48,2
49,15
50,1
51,4
52,5
53,1
54,2
55,5
56,6
57,2
58,1
59,3
60,2
61,5
62,1
63,1
64,1
65,1
66,4
67,1
68,13
69,3
70,3
71,1
72,1
73,1
74,2
75,5
76,1
77,5
78,5
79,8
80,4
81,3
82,2
83,3
84,19
85,1
86,3
87,14
88,1
89,4
90,6
91,2
92,4
93,7
94,1
95,3
96,1
97,4
98,1
99,6
100,1
101,1
102,1
103,1
104,1
105,13
106,5
107,1
108,5
109,1
110,1
111,2
112,2
113,1
114,2
115,4
116,1
117,3
118,2
119,4
120,6
121,1
122,1
123,7
124,8
125,3
126,1
127,1
128,1
129,1
130,2
131,4
132,2
133,3
134,2
135,1
136,1
137,6
138,3
139,3
140,1
141,1
142,1
143,2
144,3
145,1
146,8
147,1
148,1
149,2
150,4
151,1
152,3
153,1
154,6
155,1
156,9
157,1
158,8
159,1
160,6
161,3
162,1
163,4
164,2
165,1
166,17
167,2
168,3
169,7
170,3
171,7
172,2
173,1
174,4
175,4
176,9
177,3
178,1
179,1
180,5
181,6
182,2
183,5
184,1
185,2
186,11
187,18
188,2
189,7
190,6
191,3
192,3
193,3
194,2
195,4
196,1
197,4
198,1
199,1
200,6
201,4
202,1
203,1
204,2
205,1
206,1
207,2
208,3
209,2
210,6
211,6
212,1
213,2
214,1
215,3
216,2
217,4
218,4
219,3
220,4
221,3
222,2
223,4
224,1
225,2
226,1
227,2
228,8
229,2
230,15
231,8
232,4
233,3
234,1
235,1
236,8
237,6
238,4
239,9
240,3
241,2
242,2
243,4
244,7
245,2
246,1
247,1
248,3
249,3
250,3
251,1
252,1
253,2
254,1
255,3
256,2
257,5
258,4
259,8
260,1
261,6
262,8
263,1
264,6
265,1
266,3
267,2
268,8
269,6
270,1
271,2
272,7
273,1
274,3
275,2
276,1
277,2
278,2
279,3
280,2
281,3
282,6
283,8
284,1
285,4
286,9
287,5
288,3
289,3
290,2
291,2
292,7
293,2
294,2
295,10
296,6
297,1
298,1
299,4
300,1
301,1
302,2
303,3
304,12
305,5
306,5
307,3
308,1
309,11
310,2
311,12
312,1
313,1
314,2
315,1
316,10
317,4
318,10
319,11
320,9
321,1
322,1
323,7
324,5
325,3
326,2
327,5
328,2
329,1
330,3
331,3
332,3
333,1
334,4
335,1
336,9
337,4
338,2
339,8
340,4
341,7
342,2
343,8
344,2
345,8
346,1
347,2
348,2
349,1
350,1
351,4
352,3
353,1
354,4
355,4
356,3
357,1
358,1
359,1
360,1
361,9
362,1
363,1
364,6
365,4
366,1
367,2
368,5
369,3
370,1
371,1
372,1
373,2
374,1
375,2
376,5
377,6
378,11
379,1
380,3
381,3
382,1
383,1
384,6
385,4
386,3
387,1
388,1
389,3
390,1
391,1
392,3
393,6
394,7
395,2
396,4
397,2
398,7
399,2
400,2
401,1
402,5
403,1
404,2
405,3
406,4
407,3
408,8
409,1
410,2
411,11
412,5
413,1
414,1
415,5
416,3
417,2
418,4
419,8
420,5
421,2
422,2
423,1
424,1
425,3
426,2
427,8
428,3
429,3
430,2
431,2
432,5
433,22
434,3
435,5
436,1
437,3
438,1
439,1
440,1
441,6
442,3
443,1
444,2
445,8
446,5
447,3
448,1
449,2
450,4
451,7
452,1
453,2
454,1
455,1
456,4
457,2
458,1
459,9
460,4
461,4
462,1
463,2
464,3
465,2
466,2
467,7
468,3
469,2
470,1
471,1
472,2
473,4
474,1
475,1
476,4
477,3
478,1
479,4
480,1
481,2
482,2
483,6
484,2
485,3
486,2
487,3
488,1
489,1
490,10
491,8
492,3
493,1
494,3
495,11
496,1
497,10
498,4
499,1
500,1
501,2
502,2
503,1
504,1
505,3
506,2
507,2
508,6
509,1
510,3
511,4
512,10
513,3
514,1
515,1
516,3
517,3
518,4
519,3
520,3
521,1
522,1
523,3
524,4
525,6
526,2
527,2
528,3
529,1
530,7
531,1
532,6
533,1
534,5
535,2
536,1
537,1
538,5
539,1
540,3
541,3
542,6
543,2
544,1
545,6
546,4
